<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,1,20180914,142800,1093.1500000,1093.1800000,1092.8700000,1092.8800000,252015
RTSI,1,20180914,142900,1092.8800000,1093.5100000,1092.7400000,1093.5100000,740346
RTSI,1,20180914,143000,1093.5100000,1093.5400000,1093.0900000,1093.0900000,736049
RTSI,1,20180914,143100,1093.1000000,1093.5300000,1093.0200000,1093.4300000,1516095
RTSI,1,20180914,143200,1093.4200000,1093.4900000,1092.8900000,1092.9300000,605382
RTSI,1,20180914,143300,1092.8600000,1093.4700000,1092.7900000,1093.4600000,1608042
RTSI,1,20180914,143400,1093.4900000,1093.9800000,1093.4900000,1093.5800000,698101
RTSI,1,20180914,143500,1093.5700000,1093.6500000,1093.3200000,1093.3200000,649214
RTSI,1,20180914,143600,1093.2700000,1093.2700000,1093.0000000,1093.0600000,470036
RTSI,1,20180914,143700,1093.0700000,1093.2300000,1092.7800000,1092.7800000,149282
RTSI,1,20180914,143800,1092.7500000,1092.7800000,1092.3500000,1092.3500000,166465
RTSI,1,20180914,143900,1092.3400000,1092.5600000,1092.3300000,1092.5000000,488477
RTSI,1,20180914,144000,1092.7200000,1093.1000000,1092.6900000,1093.1000000,1369589
RTSI,1,20180914,144100,1093.1100000,1093.3500000,1092.8300000,1093.3100000,712081
RTSI,1,20180914,144200,1093.3800000,1093.8400000,1093.3800000,1093.6300000,592287
RTSI,1,20180914,144300,1093.6600000,1093.7000000,1093.3300000,1093.3300000,546725
RTSI,1,20180914,144400,1093.3200000,1093.3900000,1093.1200000,1093.1900000,680283
RTSI,1,20180914,144500,1093.1000000,1093.5600000,1092.7900000,1093.5600000,1222081
RTSI,1,20180914,144600,1093.5600000,1093.9100000,1093.3100000,1093.3200000,1490076
RTSI,1,20180914,144700,1093.3200000,1094.0300000,1093.2600000,1093.9600000,1014769
RTSI,1,20180914,144800,1093.9500000,1093.9600000,1093.4200000,1093.6900000,644021
RTSI,1,20180914,144900,1093.7200000,1093.7200000,1093.1800000,1093.3100000,483249
RTSI,1,20180914,145000,1093.3000000,1093.5200000,1093.2500000,1093.2800000,872913
RTSI,1,20180914,145100,1093.2600000,1093.5200000,1093.0400000,1093.5200000,721767
RTSI,1,20180914,145200,1093.5700000,1093.7700000,1093.4100000,1093.4400000,327799
RTSI,1,20180914,145300,1093.4500000,1093.4500000,1093.2100000,1093.3400000,302190
RTSI,1,20180914,145400,1093.3700000,1093.3700000,1093.0500000,1093.2500000,788362
RTSI,1,20180914,145500,1093.2500000,1093.3400000,1093.2000000,1093.2800000,326958
RTSI,1,20180914,145600,1093.2900000,1093.5000000,1093.2900000,1093.3800000,501137
RTSI,1,20180914,145700,1093.3700000,1093.4700000,1093.1500000,1093.1500000,345911
RTSI,1,20180914,145800,1093.1600000,1093.5200000,1093.1500000,1093.4000000,782840
RTSI,1,20180914,145900,1093.4300000,1094.1700000,1093.3300000,1094.1200000,762140
RTSI,1,20180914,150000,1094.1200000,1094.3700000,1094.1200000,1094.3100000,806990
